step,time_us,plus_spcm_counts,feedback_action,reward,empty_cavity_mean
0,0.0,10.0,1.0,0.5,29.020000457763672
1,27.36,10.0,0.17530231177806854,0.5,29.020000457763672
2,54.72,15.0,0.6847451776266098,0.5,29.020000457763672
3,82.08,29.0,0.549859132617712,0.5,29.020000457763672
4,109.44,37.0,-0.031116340309381485,0.5,29.020000457763672
5,136.8,33.0,0.37356211990118027,0.5,29.020000457763672
6,164.16,17.0,0.6571305021643639,0.5,29.020000457763672
7,191.51999999999998,12.0,0.978384543210268,0.5,29.020000457763672
8,218.88,17.0,0.9585557691752911,0.5,29.020000457763672
9,246.24,28.0,0.6682265587151051,0.5,29.020000457763672
10,273.6,3.0,0.44091856107115746,0.5,29.020000457763672
11,300.96,7.0,0.8289530128240585,0.5,29.020000457763672
12,328.32,17.0,0.8250279948115349,0.5,29.020000457763672
13,355.68,23.0,0.11872474104166031,0.5,29.020000457763672
14,383.03999999999996,5.0,0.38470517098903656,0.5292468070983887,29.020000457763672
15,410.4,17.0,0.8827589340507984,0.5182856917381287,29.020000457763672
16,437.76,28.0,0.2366746850311756,0.31723055243492126,29.020000457763672
17,465.12,12.0,-0.0012812092900276184,0.408449649810791,29.020000457763672
18,492.48,10.0,0.7459146305918694,0.5289577841758728,29.020000457763672
19,519.84,5.0,0.823942057788372,0.7325891256332397,29.020000457763672
20,547.2,9.0,0.5896026976406574,0.8530701398849487,29.020000457763672
21,574.56,15.0,0.7644958384335041,0.85418301820755,29.020000457763672
22,601.92,10.0,0.6817029379308224,0.9492827653884888,29.020000457763672
23,629.28,3.0,0.6990373842418194,1.1782375574111938,29.020000457763672
24,656.64,10.0,0.8069569021463394,1.256420373916626,29.020000457763672
25,684.0,17.0,0.41188911721110344,1.184964656829834,29.020000457763672
26,711.36,4.0,0.4170444421470165,1.3899625539779663,29.020000457763672
27,738.72,6.0,0.8587053865194321,1.5473823547363281,29.020000457763672
28,766.0799999999999,6.0,0.6441766731441021,1.702030062675476,29.020000457763672
29,793.4399999999999,5.0,0.5910109803080559,1.8803590536117554,29.020000457763672
30,820.8,5.0,0.8606232218444347,2.058309316635132,29.020000457763672
31,848.16,7.0,0.7585211247205734,2.1765527725219727,29.020000457763672
32,875.52,6.0,0.6589276641607285,2.323033332824707,29.020000457763672
33,902.88,7.0,0.7521427348256111,2.4346113204956055,29.020000457763672
34,930.24,7.0,0.6384425610303879,2.5431158542633057,29.020000457763672
35,957.6,2.0,0.6194620989263058,2.8341808319091797,29.020000457763672
36,984.96,6.0,0.8111215010285378,2.97074556350708,29.020000457763672
37,1012.3199999999999,9.0,0.6430169492959976,2.979391574859619,29.020000457763672
38,1039.68,7.0,0.607065062969923,3.07017183303833,29.020000457763672
39,1067.04,5.0,0.7831562645733356,3.2461965084075928,29.020000457763672
40,1094.4,5.0,0.7040697745978832,3.4205899238586426,29.020000457763672
41,1121.76,4.0,0.6917881295084953,3.643955707550049,29.020000457763672
42,1149.12,8.0,0.7801063507795334,3.653547763824463,29.020000457763672
43,1176.48,4.0,0.6688303276896477,3.877251386642456,29.020000457763672
44,1203.84,4.0,0.7679729014635086,4.100287437438965,29.020000457763672
45,1231.2,6.0,0.7716005481779575,4.1977081298828125,29.020000457763672
46,1258.56,6.0,0.67525939270854,4.290671348571777,29.020000457763672
47,1285.92,6.0,0.740015909075737,4.379169464111328,29.020000457763672
48,1313.28,5.0,0.7291524596512318,4.529933929443359,29.020000457763672
49,1340.6399999999999,9.0,0.7265887670218945,4.405065059661865,29.020000457763672
50,1368.0,5.0,0.6870814114809036,4.554353713989258,29.020000457763672
51,1395.36,2.0,0.7714534513652325,4.9164018630981445,29.020000457763672
52,1422.72,5.0,0.8249415084719658,5.047909736633301,29.020000457763672
53,1450.08,2.0,0.7203845232725143,5.4171600341796875,29.020000457763672
54,1477.44,3.0,0.821420818567276,5.700686454772949,29.020000457763672
55,1504.8,12.0,0.811268825083971,5.202737808227539,29.020000457763672
56,1532.1599999999999,7.0,0.7544443160295486,5.158489227294922,29.020000457763672
57,1559.52,2.0,0.7981830947101116,5.530142784118652,29.020000457763672
58,1586.8799999999999,6.0,0.8485378138720989,5.545302867889404,29.020000457763672
59,1614.24,5.0,0.7120261751115322,5.646546840667725,29.020000457763672
60,1641.6,4.0,0.8014014922082424,5.833743095397949,29.020000457763672
61,1668.96,6.0,0.822933591902256,5.826737403869629,29.020000457763672
62,1696.32,3.0,0.7054774984717369,6.103569984436035,29.020000457763672
63,1723.68,4.0,0.8138604946434498,6.273780345916748,29.020000457763672
64,1751.04,4.0,0.770852580666542,6.437021255493164,29.020000457763672
65,1778.3999999999999,3.0,0.7630896121263504,6.700267791748047,29.020000457763672
66,1805.76,3.0,0.8115566819906235,6.956376075744629,29.020000457763672
67,1833.12,12.0,0.7831985019147396,6.2267560958862305,29.020000457763672
68,1860.48,7.0,0.8438010104000568,6.085471153259277,29.020000457763672
69,1887.84,3.0,0.8067064806818962,6.3558030128479,29.020000457763672
70,1915.2,4.0,0.8558333031833172,6.512223720550537,29.020000457763672
71,1942.56,4.0,0.7783915549516678,6.66156005859375,29.020000457763672
72,1969.92,4.0,0.8105377592146397,6.803826808929443,29.020000457763672
73,1997.28,2.0,0.815445888787508,7.171750068664551,29.020000457763672
74,2024.6399999999999,8.0,0.8024285845458508,6.822473526000977,29.020000457763672
75,2052.0,5.0,0.7448148280382156,6.841073036193848,29.020000457763672
76,2079.36,11.0,0.7988661453127861,6.205781936645508,29.020000457763672
77,2106.72,6.0,0.8643519468605518,6.155050277709961,29.020000457763672
78,2134.08,7.0,0.8133701980113983,6.0053277015686035,29.020000457763672
79,2161.44,5.0,0.8134287409484386,6.067744255065918,29.020000457763672
80,2188.8,7.0,0.8240419253706932,5.922865390777588,29.020000457763672
81,2216.16,5.0,0.7907753735780716,5.988222122192383,29.020000457763672
82,2243.52,6.0,0.8235785849392414,5.947587490081787,29.020000457763672
83,2270.88,4.0,0.7650550417602062,6.113092422485352,29.020000457763672
84,2298.24,5.0,0.7968346327543259,6.165666103363037,29.020000457763672
85,2325.6,5.0,0.7756158970296383,6.214476585388184,29.020000457763672
86,2352.96,10.0,0.7636625319719315,5.745728969573975,29.020000457763672
87,2380.32,8.0,0.7395819947123528,5.523272514343262,29.020000457763672
88,2407.68,7.0,0.7683908231556416,5.414133071899414,29.020000457763672
89,2435.04,6.0,0.7975170128047466,5.405854225158691,29.020000457763672
90,2462.4,6.0,0.7895072475075722,5.397283554077148,29.020000457763672
91,2489.7599999999998,4.0,0.7940195314586163,5.5796356201171875,29.020000457763672
92,2517.12,3.0,0.8205226436257362,5.856201171875,29.020000457763672
93,2544.48,7.0,0.8000186197459698,5.71366024017334,29.020000457763672
94,2571.84,5.0,0.7263731807470322,5.781230926513672,29.020000457763672
95,2599.2,5.0,0.7777797430753708,5.8444623947143555,29.020000457763672
96,2626.56,13.0,0.7595273740589619,5.126038074493408,29.020000457763672
97,2653.92,3.0,0.7909024842083454,5.410478115081787,29.020000457763672
98,2681.2799999999997,3.0,0.8714979477226734,5.6895751953125,29.020000457763672
99,2708.64,4.0,0.8305102363228798,5.858049392700195,29.020000457763672
100,2736.0,8.0,0.7730957791209221,5.607057094573975,29.020000457763672
