detuning,avg_trapped_steps,se_trapped_steps,avg_reward,se_reward,fraction_completed,se_fraction_completed,avg_final_temp,se_final_temp,cooling_timescale,cooling_timescale_err
-105.0,43.65675,0.271825049175706,-24.05595916302588,0.537162747956851,0.01875,0.002144669992096686,620.0024831080914,156.7450670805951,304.18333551645776,84.90428996017549
-95.0,46.45575,0.31415523310041327,-22.081536880357575,0.562270624267972,0.037,0.002984585398342624,419.98048311996985,53.43233352629427,302.8223484910837,107.32810008462687
-85.0,50.958,0.35378497565611805,-22.22681714799367,0.6183778697306577,0.05725,0.0036732967991982353,313.21939428753836,31.430737807677826,387.93804246414896,109.66689383001669
-75.0,57.7475,0.41769463838730325,-20.032640527193283,0.6516562292900345,0.1225,0.005183959635259518,350.48199640410803,19.983954115064645,659.2356714750239,176.5785461586131
-65.0,65.5445,0.457504786791898,-15.079886540245225,0.7609922599283129,0.2145,0.006490180082247333,287.17516547524474,11.692482192502197,885.0364868818067,357.4970817587999
-55.0,73.6165,0.46616827105402614,-5.282329384142647,0.8928714439335639,0.32725,0.007418851621039471,265.18527177549845,8.049255067191647,,
-45.0,79.2615,0.4713138863194039,11.456735015178605,1.05432714913406,0.4295,0.007826713071270723,214.60128034802537,5.463517393945785,179.5670622485465,31.528407950610276
-35.0,83.48875,0.4566144088389842,30.875698105644144,1.2524970916085867,0.498,0.00790563090461476,186.145810569303,4.831747392012011,229.64799391405074,25.888884909489015
-25.0,85.9,0.4538131498755848,62.45187661357375,1.5363266674653342,0.55575,0.007856397671643155,154.18636475672443,4.1933188867640085,289.8641972020864,20.24403910795661
-15.0,86.89975,0.43782893347102475,99.18413513313732,1.988116403861387,0.55325,0.00786073211444074,144.8756191652174,3.7959062098289573,255.29958295284143,22.115678140411635
-5.0,81.8735,0.45065701973618477,126.14366731358207,2.588316099210534,0.44825,0.007863236253286556,226.00083991428417,5.8561987530728965,1999.9999999999995,617.1086535315522
5.0,81.93325,0.4558941199548147,120.44776246216396,2.4465790953025577,0.46075,0.00788129807677644,197.63298245704107,5.148508155797744,1999.9999999999986,1092.2210095450107
15.0,86.32525,0.44789855504274073,106.73431728558576,1.99116754044427,0.5615,0.007845663611193128,109.58312367325898,3.5912960767042508,200.28343496925277,23.151016113055878
25.0,85.05925,0.4686213128522592,81.75891446863822,1.678937181161348,0.557,0.007854154951361731,88.73537712474152,3.1628566293039864,220.5222171078096,20.741406824454486
35.0,83.92325,0.47287653236270355,58.287879034783785,1.3665959469196158,0.54375,0.007875372015022529,90.56922606887461,3.8997898850575266,274.56616290976484,17.339781198431798
45.0,80.1875,0.49095553356439525,39.41353112360882,1.1325750936983776,0.48975,0.007904032791872767,97.61255194136909,4.462042356619485,336.88181287740366,24.7565764236171
55.0,73.32775,0.5026353872185831,20.882892531181415,0.9826059010360036,0.37675,0.007661746496393626,101.41667074416493,5.108518284227502,360.1922037248878,47.16402643932191
65.0,63.893,0.5009720678341258,5.940971605382443,0.9217624338554993,0.25775,0.006915832153472206,106.77251430121197,6.6801267059225795,702.1929797440308,131.2450212312858
75.0,54.6635,0.45852079226301173,-5.508608576713865,0.8159574975638162,0.156,0.005737246726435948,142.25894725301714,10.478468299563419,1999.9999999950917,1843.1770425216291
85.0,45.8185,0.384739378589585,-14.920595072245623,0.6903525620983854,0.0795,0.004277258175513842,209.99804887386725,22.687273624551544,,
95.0,39.15225,0.3041200708344896,-18.49040951960436,0.5708228059578423,0.03475,0.002895791666366902,231.58246495833086,36.1193867400732,,
105.0,35.316,0.2278923232581563,-22.20504327813554,0.4614282455488449,0.0095,0.0015337657904647632,344.96425609141016,100.69160221183806,279.727486330987,40.11750768974426
