detuning,avg_trapped_steps,se_trapped_steps,avg_reward,se_reward,fraction_completed,se_fraction_completed,avg_final_temp,se_final_temp,avg_mean_ke_z,se_mean_ke_z
-105.0,42.3745,0.26109756306312015,-21.396670583415673,0.5342298243815923,0.01575,0.0019686249960314942,391.42219775228904,61.21662113442296,88.7792183924427,12.335303756280972
-95.0,45.69975,0.31131820535326066,-20.85406986458204,0.5591737472203148,0.03275,0.002814135635501601,388.94629899145923,56.824699821382985,98.02773296725094,8.139485987493655
-85.0,49.83675,0.354129601783549,-19.481744551984477,0.5920234531547988,0.0565,0.0036506078261023876,386.88889429836445,38.80365504423563,96.81576781881905,5.873228779386399
-75.0,56.6905,0.4153175621587654,-16.98864174155012,0.6935956340091901,0.11575,0.005058456718703838,277.19706249025904,17.959888709979126,88.16937242861607,3.454580267196498
-65.0,65.3605,0.4627252261736981,-11.202537422091831,0.7770232555966591,0.213,0.006473619543964567,252.51616518494524,10.917785617762272,88.76535825437291,2.293230492137368
-55.0,72.8445,0.4816218225303957,0.8740734193221054,0.9133962249574665,0.335,0.007462824532306787,197.91251538714835,6.605421383812624,88.35837952257572,1.8930411684966355
-45.0,80.316,0.47807874455993127,18.522506257827544,1.1329965775511053,0.466,0.007887395007225136,170.37325255849592,4.829197187353525,87.8339309181249,1.5550205528093315
-35.0,84.86925,0.45862066417615216,48.02729281901091,1.3728591633179852,0.54925,0.007867249161873546,127.13368433051352,3.4116240791129053,86.0768123391925,1.4377392978665242
-25.0,88.02475,0.44841474592097774,85.64850453685544,1.6532234116451185,0.6205,0.007672674729193203,110.8087788609986,3.0922228415668704,87.4443370253533,1.3302851900240569
-15.0,89.59775,0.43296331973317903,133.8121012936126,2.1084814254521884,0.6435,0.007573106198912043,111.72581001375865,2.9527106922582305,89.06992574102829,1.274067490787034
-5.0,86.6255,0.4422317689147853,165.08834987070506,2.7281763380154955,0.5555,0.007856840172741202,198.60697231915088,4.2537560226629365,98.70748502095022,1.46236163292761
5.0,86.84475,0.4387542442636595,164.7294662424659,2.6896630058481277,0.574,0.007818631593827657,187.64941898294362,4.1511448508385245,79.35830032572507,1.1234073094395278
15.0,89.6415,0.4328040774270733,143.52062506052113,2.147557715887247,0.653,0.007526469956094955,86.17044612033125,2.4327337585998903,62.999622647987046,1.0029352103553797
25.0,87.98525,0.4504156503823718,104.54482465979262,1.8103290684914235,0.6295,0.0076359306898373565,70.44574085179605,2.5912907463219867,65.26520000065823,1.1302677705251085
35.0,83.96825,0.4791196984933671,69.29215064726654,1.4598478878982102,0.5615,0.007845663611193128,65.33080115240114,2.6994314681913374,61.96373691445859,1.1467014296302926
45.0,81.5855,0.4855305576763424,47.01808837410927,1.2327753937633856,0.5125,0.007903223234858042,74.36185607408736,3.7520926369811236,67.42098968211727,1.3049042377950149
55.0,72.54825,0.5029227505138091,24.679341207235524,1.082617897656692,0.368,0.0076252213082637806,84.06437502048446,4.614012051021927,66.43727716398703,1.5551760872124416
65.0,64.388,0.5052886442420808,8.983431908179103,0.9562191227228761,0.271,0.007027784145803,136.87323214736392,8.356361949355943,69.46113003487157,1.854743241102817
75.0,53.33775,0.45427047970826256,-5.096247965250728,0.8496795385684057,0.14775,0.005610702663214296,178.0052254215281,13.770846876853744,73.06395091870331,2.6420573616855454
85.0,43.68725,0.3620498713704716,-15.773748489614473,0.6385434426396205,0.059,0.0037255536501304073,213.7193445369955,23.743828075271235,77.06400987948784,4.404578734519709
95.0,38.19,0.27863345097098446,-19.058157451594095,0.532034000382644,0.02575,0.0025043431024921485,231.386313773642,34.36896953405972,81.53676290781549,6.704008809944083
105.0,34.65825,0.2219982865572953,-21.695811661578105,0.44148473975050134,0.01275,0.0017739389434250547,163.46597411725241,43.03867841552593,75.16115751401618,9.54398969450618
