Calibrated_Power,capture_fraction,capture_fraction_error,clipped_reward,clipped_reward_error,clipped_steps,clipped_steps_error
3.7780597,0.44029850746268656,0.04304532772570866,163.5053,16.5542385625029,58.08955223880597,3.345151988057282
7.029685,0.5669291338582677,0.044142670124518744,224.66321,18.390020900113285,65.19685039370079,3.5597641679110503
10.370031,0.6697247706422018,0.04525580607629584,258.30252,17.921468223006716,74.64220183486239,3.5121874826546935
15.508794,0.7523809523809524,0.042324735320550415,312.14484,18.34421864524773,81.34285714285714,3.2798314911214197
22.824236,0.8333333333333334,0.03823595564509363,344.9647,16.15417448767653,89.0625,2.7295014526144814
31.677448,0.9135802469135802,0.03141484111110981,363.61636,14.368030124240452,93.98765432098766,2.2606055827975524
41.70465,0.9012345679012346,0.03335618786692912,346.32495,14.331554836697048,93.24691358024691,2.4168602006923354
53.628605,0.8021978021978022,0.0419889520319622,307.8425,14.367054320994733,91.81318681318682,2.1855286107492256
62.56093,0.6888888888888889,0.04907240553386405,267.62842,15.090405464519653,90.5111111111111,2.031354992911647
70.83042,0.6162790697674418,0.05274569153679127,240.12198,15.88202040975815,85.47674418604652,2.5963104803902826
