photon_number,avg_trapped_steps,se_trapped_steps,avg_reward,se_reward,fraction_completed,se_fraction_completed,avg_final_temp,se_final_temp,cooling_timescale,cooling_timescale_err
1.0,29.79775,0.24008141584548978,39.78387557288894,1.296056164637735,0.00525,0.0011426326509425503,138.9139178552904,50.415722293759934,1999.9999999978916,1251.5074266970594
5.0,59.805,0.5272873919884677,35.86009244047889,1.1629077383472235,0.24375,0.006788518569982703,79.69409052068391,4.6281584047720985,558.417818525899,70.13561452493595
9.0,73.6425,0.5336625089300353,67.79614757009328,1.6216328142908834,0.4105,0.007778009867568953,55.48228787188597,2.0262675120618874,439.48038565028475,36.19743684893864
13.0,79.705,0.5029599822550498,89.6496795051359,1.7785262068514738,0.48975,0.007904032791872767,53.82650758131922,2.1208142547884483,461.2483742818201,28.196783856587803
17.0,82.91925,0.4904959809818782,101.21372029700966,1.8309400141499075,0.5455,0.0078728925751594,56.451889016113086,2.1382243860147008,409.4435075514056,15.179085758542152
21.0,84.7255,0.48017969286247414,102.8168573930437,1.821671774262118,0.5755,0.007815045585279717,60.558008213440694,2.278884101652527,338.85038343647796,14.561021771740712
25.0,85.724,0.46620149184660487,98.82323280228266,1.7917639025029044,0.5765,0.007812613999168268,68.52958357132515,2.337507297797676,297.0291479570899,17.378315944429744
29.0,85.09875,0.46585445646615314,89.9363005090078,1.7223681367928318,0.55975,0.007849043532494899,77.65699061530162,2.8325330086279292,252.40828025506386,18.34472654225354
33.0,85.4255,0.4652186178964681,84.16019310616262,1.678429740796576,0.569,0.007830054278228218,87.65183496992248,3.0402291989578902,245.38707213030787,19.792564196613494
37.0,86.15725,0.4544947806184082,74.81319400112051,1.571391196783875,0.55625,0.007855506627519323,100.54414748149622,3.5102708742237336,204.59766289466708,28.447152092379433
41.0,85.12575,0.4585535511086737,68.04891321431022,1.5226179574299599,0.54625,0.007871799945057038,117.82524975868499,4.02970330500061,186.1265299010461,24.93057448703638
45.0,84.84875,0.4604623691023785,59.98328948080451,1.4616794380816287,0.54625,0.007871799945057038,132.964499928592,4.3446138890097865,,
49.0,84.99075,0.4556147397850238,52.09031528515306,1.3661554227228139,0.5395,0.007880985820314613,149.775121076957,4.781073644346879,,
53.0,83.5685,0.46805857212265645,44.7720541800545,1.2798715314014302,0.51475,0.007902253436520497,164.22564804140848,5.181741751591803,,
57.0,83.87125,0.45965249739273145,40.99390563686385,1.2519321083250152,0.51575,0.007901770964473724,186.34844121030525,5.57814760423453,,
61.0,83.74925,0.4620469062869862,37.91895920745746,1.1814266862967202,0.5125,0.007903223234858042,179.54292300429614,5.074920658464105,,
65.0,83.96175,0.4526639998214735,35.13149132612334,1.1756885083078856,0.50775,0.00790474442186463,191.7955888190523,5.116546585015609,,
69.0,84.1265,0.45341936927914755,33.278836300105205,1.1318147533995093,0.50925,0.007904341172735398,206.79303427413598,5.3855357534392665,,
73.0,83.65775,0.45364003211177806,31.409929461066124,1.1192830887841199,0.5,0.007905694150420948,207.8701097508514,5.4402025171943045,-727.3674554996516,252.77626748674226
77.0,83.09375,0.46408336022138846,28.870788227511973,1.0938270950672933,0.50125,0.007905669445088127,221.16871712169456,5.428302676479905,,
81.0,83.6575,0.45959525502065396,26.963891302718707,1.0543117753658717,0.5055,0.007905215841455563,214.4844256942806,5.199426791980332,,
