photon_number,avg_trapped_steps,se_trapped_steps,avg_reward,se_reward,fraction_completed,se_fraction_completed,avg_final_temp,se_final_temp,legacy_cooling_timescale,legacy_cooling_timescale_err
1.0,29.984,0.2547985694622323,0.6831045476112751,0.6362369809572042,0.0095,0.0015337657904647632,96.98971793110647,21.216435415705313,1999.9999999982376,511.4884082387022
5.0,86.05325,0.506285348009771,116.62093464345153,1.5783014210745783,0.6835,0.007354042255793748,59.95964175010622,1.067624502138948,597.2687257809949,17.779828110715208
9.0,93.802,0.44076972332500336,197.4852989070934,1.7262285753844044,0.8205,0.006067943432498361,60.61603472950278,0.9148752051910829,504.9394179134513,12.071005734176538
13.0,96.3275,0.39871880559800543,240.7706792404971,1.8054705713908357,0.85775,0.005523018592671946,62.30446186278639,1.0418481218472548,494.9762888700988,8.240788642108352
17.0,97.0355,0.39074423852118406,254.60923175419018,1.8514704724765105,0.8735,0.005255895499341667,66.21115977547173,1.133659503514446,474.08338963638556,8.473368195126866
21.0,98.14575,0.3695260501431192,256.86968777454064,1.8349617111696166,0.889,0.00496686520855962,68.2381977332485,1.2200871734500753,472.0061904709553,8.887884972192296
25.0,98.6965,0.35619442996417006,254.62962237077318,1.7660997981162994,0.8935,0.004877441696217393,66.28481624446478,1.1134874538979649,479.1607223121097,9.592102087420143
29.0,99.5075,0.33502031421616807,254.57059152906908,1.688899050503596,0.905,0.004636135243928934,70.08022638574431,1.156530783419743,453.25954742671763,7.431034468114726
33.0,100.233,0.31878037541542614,257.246728136723,1.6544064291379206,0.916,0.0043858864554386255,71.66872027985413,1.2227464861644073,457.85079227636504,8.438401187006068
37.0,100.6945,0.30545280721823465,259.6812956749809,1.6572904294245954,0.92125,0.0042587685279902214,71.8951636729261,1.2076514313583155,449.9941974541374,8.200842842851124
41.0,100.83225,0.3008027218699575,261.63664080428003,1.66978207523783,0.9215,0.004252580099186846,70.89556124534435,1.105362339129824,420.55119745816836,7.2149311320816345
45.0,101.3595,0.283885214369294,258.59503688183247,1.6412915264131949,0.92675,0.0041196006329497535,76.67210878314968,1.2713712451029733,431.86802862979437,7.8093318462129275
49.0,101.41775,0.27968720695515376,258.42518697477635,1.656714534774278,0.9265,0.004126068043549452,76.38331251793569,1.256003848110976,429.8664353776661,6.78947439988062
53.0,101.94475,0.26321388519486383,255.7465246056965,1.6087235036738665,0.93125,0.004000732354832049,80.99615410051146,1.3440765612446044,397.2649285241488,6.2564573703575705
57.0,102.182,0.25784436972716707,257.00275706495444,1.613188149389152,0.93325,0.0039463412643865456,79.68968777713728,1.2753892243548428,358.7549376725348,6.539693178269186
61.0,102.3735,0.2504458513082219,256.4595820423402,1.6014189410700121,0.93375,0.003932586219652407,85.16167201723218,1.3737127261384166,354.755174962081,6.6475743868930675
65.0,101.98875,0.2589520338969652,249.34343984099058,1.6422312761978874,0.9265,0.004126068043549452,84.19310605281292,1.4217433236904236,345.1839497171686,7.310477847231834
69.0,101.96825,0.26141286403766556,244.47516224086053,1.6361391136245453,0.9275,0.004100114327674291,87.40173072501337,1.3899940714169405,325.1445703235468,7.959800844477099
73.0,102.186,0.25147410602286674,245.45519343244115,1.6346100896618136,0.92825,0.004080500505452732,86.4371520394149,1.4266253229267882,324.8765880509991,7.576634184857437
77.0,102.15875,0.24949050504853887,240.2962411033513,1.6353915274230477,0.92325,0.004208902395518337,88.09209031145049,1.440120743029288,318.60275352846014,7.8429885506663
81.0,102.2095,0.2489297640650872,237.16860644282633,1.6426555554866853,0.9235,0.004202610795684036,90.62982168362578,1.4879233090822614,296.2408048132358,9.760485462942883
